id;id_doi;discipline;count
537;65;Arts and Humanities;2
538;65;Agricultural and Biological Sciences;3
539;65;Social Sciences;41
540;65;Economics, Econometrics and Finance;15
541;66;Business, Management and Accounting;5
542;66;Philosophy;1
543;67;Business, Management and Accounting;54
544;67;Economics, Econometrics and Finance;2
545;67;Unspecified;11
546;67;Engineering;1
547;67;Chemical Engineering;1
548;67;Social Sciences;9
549;67;Psychology;3
550;68;Business, Management and Accounting;73
551;68;Linguistics;1
552;68;Psychology;28
553;68;Decision Sciences;2
554;68;Unspecified;13
555;68;Engineering;3
556;68;Biochemistry, Genetics and Molecular Biology;1
557;68;Computer Science;2
558;68;Arts and Humanities;1
559;68;Chemistry;1
560;68;Social Sciences;16
561;68;Economics, Econometrics and Finance;3
562;69;Business, Management and Accounting;62
563;69;Psychology;1
567;69;Arts and Humanities;1
568;69;Social Sciences;6
569;70;Business, Management and Accounting;71
570;70;Economics, Econometrics and Finance;2
571;70;Unspecified;14
572;70;Engineering;4
573;70;Computer Science;1
574;70;Arts and Humanities;2
575;70;Chemistry;1
576;70;Social Sciences;16
577;70;Psychology;32
578;71;Business, Management and Accounting;141
579;71;Materials Science;1
580;71;Physics and Astronomy;2
581;71;Psychology;52
582;71;Environmental Science;2
583;71;Computer Science;8
584;71;Unspecified;15
585;71;Engineering;2
586;71;Design;2
587;71;Arts and Humanities;3
588;71;Agricultural and Biological Sciences;1
589;71;Linguistics;1
590;71;Social Sciences;51
591;71;Economics, Econometrics and Finance;2
592;72;Business, Management and Accounting;82
593;72;Economics, Econometrics and Finance;1
594;72;Environmental Science;1
595;72;Philosophy;1
596;72;Unspecified;12
597;72;Engineering;6
598;72;Computer Science;1
599;72;Arts and Humanities;2
600;72;Agricultural and Biological Sciences;1
601;72;Social Sciences;12
602;72;Psychology;25
603;73;Business, Management and Accounting;6
604;74;Business, Management and Accounting;2
605;74;Psychology;1
606;74;Unspecified;1
607;74;Arts and Humanities;1
609;75;Linguistics;3
611;75;Psychology;5
612;75;Sports and Recreations;1
613;75;Decision Sciences;1
614;75;Environmental Science;2
615;75;Computer Science;2
616;75;Unspecified;10
617;75;Engineering;1
618;75;Medicine and Dentistry;1
619;75;Design;3
620;75;Arts and Humanities;4
621;75;Agricultural and Biological Sciences;1
622;75;Social Sciences;68
623;75;Economics, Econometrics and Finance;5
624;76;Business, Management and Accounting;71
625;76;Economics, Econometrics and Finance;2
626;76;Environmental Science;1
627;76;Philosophy;2
628;76;Unspecified;13
629;76;Design;1
630;76;Arts and Humanities;3
631;76;Social Sciences;27
632;76;Psychology;6
633;77;Business, Management and Accounting;367
634;77;Materials Science;1
635;77;Physics and Astronomy;1
636;77;Psychology;12
637;77;Sports and Recreations;1
638;77;Decision Sciences;1
639;77;Environmental Science;5
640;77;Computer Science;1
641;77;Unspecified;65
642;77;Engineering;15
643;77;Medicine and Dentistry;1
644;77;Design;2
645;77;Arts and Humanities;7
646;77;Mathematics;1
647;77;Agricultural and Biological Sciences;1
648;77;Earth and Planetary Sciences;1
649;77;Social Sciences;115
650;77;Economics, Econometrics and Finance;31
651;78;Business, Management and Accounting;104
652;78;Economics, Econometrics and Finance;4
653;78;Environmental Science;1
654;78;Unspecified;13
655;78;Engineering;2
656;78;Arts and Humanities;1
657;78;Social Sciences;12
658;78;Psychology;5
659;79;Business, Management and Accounting;99
660;79;Physics and Astronomy;1
661;79;Economics, Econometrics and Finance;2
662;79;Environmental Science;2
663;79;Unspecified;11
664;79;Engineering;3
665;79;Design;2
666;79;Computer Science;16
667;79;Arts and Humanities;3
668;79;Agricultural and Biological Sciences;3
669;79;Social Sciences;31
670;79;Psychology;16
671;80;Business, Management and Accounting;125
672;80;Linguistics;1
673;80;Physics and Astronomy;1
674;80;Psychology;10
675;80;Computer Science;4
676;80;Unspecified;16
677;80;Engineering;8
679;80;Design;6
680;80;Arts and Humanities;6
681;80;Agricultural and Biological Sciences;2
682;80;Nursing and Health Professions;1
683;80;Social Sciences;34
684;80;Economics, Econometrics and Finance;2
685;81;Business, Management and Accounting;127
686;81;Linguistics;1
687;81;Psychology;19
688;81;Decision Sciences;1
689;81;Unspecified;8
690;81;Pharmacology, Toxicology and Pharmaceutical Science;1
691;81;Engineering;2
692;81;Medicine and Dentistry;2
693;81;Biochemistry, Genetics and Molecular Biology;1
694;81;Arts and Humanities;2
695;81;Agricultural and Biological Sciences;1
696;81;Social Sciences;50
697;81;Economics, Econometrics and Finance;8
698;82;Business, Management and Accounting;44
699;82;Economics, Econometrics and Finance;2
700;82;Environmental Science;1
701;82;Unspecified;8
702;82;Medicine and Dentistry;1
703;82;Arts and Humanities;2
